,id,Name,population,Unnamed: 3,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days per 100000 population,ratio
213,214,Gibraltar,28877,not listed,Europe,4892.0,14520.2,188.0,558.01,35.0,94.0,279.01,0.0,0.16940817952003323
214,215,British Virgin Islands,24939,not listed,Americas,2500.0,8268.02,290.0,959.09,111.0,31.0,102.52,26.46,0.1002445968162316
215,216,Turks and Caicos Islands,23528,not listed,Americas,2479.0,6402.71,20.0,51.66,6.0,18.0,46.49,0.0,0.10536382182930976
216,217,Palau,20879,not listed,Western Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,218,Akrotiri,15700,not listed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,219,Dhekelia,15700,not listed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,220,Wallis and Futuna,15343,not listed,Western Pacific,454.0,4036.99,0.0,0.0,0.0,7.0,62.24,0.0,0.029590041061070195
220,221,Anguilla,14764,not listed,Americas,114.0,759.9,1.0,6.67,1.0,0.0,0.0,0.0,0.007721484692495259
221,222,Nauru,14264,not listed,Western Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,223,Cook Islands,11488,not listed,Western Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,224,Tuvalu,10472,not listed,Western Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,225,"Saint Helena, Ascension, and Tristan da Cunha",7670,not listed,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,226,Saint Barthelemy,7406,not listed,Americas,1065.0,10773.9,8.0,80.93,0.0,1.0,10.12,0.0,0.14380232244126384
226,227,Saint Pierre and Miquelon,6010,not listed,Americas,28.0,483.18,0.0,0.0,0.0,0.0,0.0,0.0,0.004658901830282862
227,228,Montserrat,5118,not listed,Americas,21.0,420.08,0.0,0.0,0.0,1.0,20.0,0.0,0.004103165298944901
228,FLK,Falkland Islands (Islas Malvinas),3140,0,Americas,60.0,1722.65,0.0,0.0,0.0,0.0,0.0,0.0,0.01910828025477707
229,230,Norfolk Island,2155,not listed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,231,Svalbard,2067,not listed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,232,Christmas Island,1402,not listed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,233,Tokelau,1400,not listed,Western Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,234,Niue,1354,not listed,Western Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,235,Holy See (Vatican City),829,not listed,Europe,26.0,3213.84,0.0,0.0,0.0,0.0,0.0,0.0,0.031363088057901084
235,236,Cocos (Keeling) Islands,596,not listed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,237,Pitcairn Islands,48,not listed,Western Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,ATA,Antarctica,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,ATF,French Southern and Antarctic Lands,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,SDS,South Sudan,12152321,0,Africa,11049.0,98.71,132.0,1.18,35.0,119.0,1.06,0.02,0.0009092090309332678
240,-99,Somaliland,3500000,0,Eastern Mediterranean,15358.0,96.63,196.0,1.23,35.0,809.0,5.09,0.18,0.004388
241,OSA,Kosovo,1824000,0,Europe,108160.0,6023.39,249.0,13.87,72.0,2255.0,125.58,0.0,0.059298245614035086
